run,scope,selection,n_mc,k_obj,e_obj,k_all,e_all
bh,Roman footprint only,"joint, sigma(M)/M < 10%",4936,1216.4459559899788,32.83999539197236,1258.42466328681,34.51122035532896
ns,whole scan,joint (either survey),93185,191917.01626147924,1468.2241372455176,197382.13098421757,1578.5611408015134
ns,whole scan,Rubin detects,78633,141079.58594967762,1333.6981553892058,144089.42158950018,1425.1860415030592
ns,whole scan,Roman detects,18047,57944.98360196946,649.589465641725,60592.97857678986,713.7683402454594
ns,whole scan,both detect,3606,7519.542651703712,219.5085350258337,7738.3498615679355,228.80935800201323
ns,whole scan,Rubin only,75027,133560.04329797393,1315.5100808201291,136351.07172793226,1406.698805923239
ns,whole scan,Roman only,14441,50425.44095026575,611.3775240581832,52854.62871522193,676.1002301637416
ns,whole scan,"Roman, sigma(M)/M < 1%",198,40.513919128751,4.4825261543949395,40.85786513508724,4.50862732687826
ns,whole scan,"Roman, sigma(M)/M < 5%",1655,960.3676769465885,49.45492130244304,1003.7546655369322,54.839458952856575
ns,whole scan,"Roman, sigma(M)/M < 10%",2790,2285.6591223315327,89.67752594365088,2386.1349281368466,97.23865478400052
ns,whole scan,"joint, sigma(M)/M < 10%",3229,2607.45004648524,95.27206721219213,2713.3922660081757,102.51246027889762
ns,Roman footprint only,joint (either survey),19058,62400.47470956306,675.3994302544465,65146.44066282566,738.4190145980302
ns,Roman footprint only,Rubin detects,4506,11563.044397761483,281.4836458593237,11853.73126810831,290.796524680936
ns,Roman footprint only,Roman detects,18047,57944.98360196946,649.589465641725,60592.97857678986,713.7683402454594
ns,Roman footprint only,both detect,3606,7519.542651703712,219.5085350258337,7738.3498615679355,228.80935800201323
ns,Roman footprint only,Rubin only,900,4043.5017460577697,176.20739467193053,4115.381406540373,179.46837174615692
ns,Roman footprint only,Roman only,14441,50425.44095026575,611.3775240581832,52854.62871522193,676.1002301637416
ns,Roman footprint only,"Roman, sigma(M)/M < 1%",198,40.513919128751,4.4825261543949395,40.85786513508724,4.50862732687826
ns,Roman footprint only,"Roman, sigma(M)/M < 5%",1655,960.3676769465885,49.45492130244304,1003.7546655369322,54.839458952856575
ns,Roman footprint only,"Roman, sigma(M)/M < 10%",2790,2285.6591223315327,89.67752594365088,2386.1349281368466,97.23865478400052
ns,Roman footprint only,"joint, sigma(M)/M < 10%",3183,2599.3985714177143,95.21631871200515,2705.256484560462,102.46036212662581
bulge,whole scan,joint (either survey),85061,247837.0676167333,2547.454273240785,255490.68117102643,2731.0394860273245
bulge,whole scan,Rubin detects,75533,174933.45239283337,2207.776482019223,177678.76555962057,2259.989358484621
bulge,whole scan,Roman detects,11468,81860.4580377136,1353.7833804110437,86845.80956496396,1603.3734288608498
bulge,whole scan,both detect,2016,9488.155470040594,476.1934538409385,9571.90334024452,478.764022198968
bulge,whole scan,Rubin only,73517,165445.2969227928,2155.8100076482187,168106.86221937608,2208.695748968516
bulge,whole scan,Roman only,9452,72372.30256767302,1267.2684149761608,77273.90622471944,1530.2259190802072
bulge,whole scan,"Roman, sigma(M)/M < 1%",32,11.697287696546775,3.8931615636986994,12.0000994180661,3.95590706408606
bulge,whole scan,"Roman, sigma(M)/M < 5%",575,1012.707616745406,241.42765652385805,1026.8684537404383,241.59808692158936
bulge,whole scan,"Roman, sigma(M)/M < 10%",1089,1929.4934090052736,263.8641256663913,1976.7242994781889,265.3175699595505
bulge,whole scan,"joint, sigma(M)/M < 10%",1240,2126.193789405029,267.1580405848372,2177.349821304873,268.6539385110182
bulge,Roman footprint only,joint (either survey),12461,89736.23757601445,1424.3526433929253,94797.69400622984,1664.231162086841
bulge,Roman footprint only,Rubin detects,2933,16832.622352114562,643.0662275729098,16985.778394824003,647.0244099601271
bulge,Roman footprint only,Roman detects,11468,81860.4580377136,1353.7833804110437,86845.80956496396,1603.3734288608498
bulge,Roman footprint only,both detect,2016,9488.155470040594,476.1934538409385,9571.90334024452,478.764022198968
bulge,Roman footprint only,Rubin only,917,7344.466882073968,432.1735387132019,7413.875054579481,435.2305114903099
bulge,Roman footprint only,Roman only,9452,72372.30256767302,1267.2684149761608,77273.90622471944,1530.2259190802072
bulge,Roman footprint only,"Roman, sigma(M)/M < 1%",32,11.697287696546775,3.8931615636986994,12.0000994180661,3.95590706408606
