run,population,commit,scope,selection,F,n_mc,N_per_object,err_per_object,N_all_stars,err_all_stars
bh,bh,a5028fe,whole scan,Roman only,0.005,18007,33.26327752063222,0.40661937481041743,35.819920796846915,0.605185420836043
bh,bh,a5028fe,whole scan,Roman only,0.01,18007,66.52655504126444,0.8132387496208349,71.63984159369383,1.210370841672086
bh,bh,a5028fe,whole scan,Roman only,0.03,18007,199.5796651237933,2.439716248862504,214.91952478108146,3.6311125250162575
bh,bh,a5028fe,whole scan,"Roman, sigma(M)/M < 1%",0.005,416,0.299015316455084,0.029303864133290922,0.3034620557220079,0.029642381181229804
bh,bh,a5028fe,whole scan,"Roman, sigma(M)/M < 1%",0.01,416,0.598030632910168,0.058607728266581845,0.6069241114440158,0.05928476236245961
bh,bh,a5028fe,whole scan,"Roman, sigma(M)/M < 1%",0.03,416,1.794091898730504,0.1758231847997455,1.8207723343320472,0.1778542870873788
bh,bh,a5028fe,whole scan,"Roman, sigma(M)/M < 5%",0.005,2691,2.944350001219105,0.10982129493179825,3.050389138175794,0.1170422806458185
bh,bh,a5028fe,whole scan,"Roman, sigma(M)/M < 5%",0.01,2691,5.88870000243821,0.2196425898635965,6.100778276351588,0.234084561291637
bh,bh,a5028fe,whole scan,"Roman, sigma(M)/M < 5%",0.03,2691,17.66610000731463,0.6589277695907895,18.30233482905476,0.7022536838749109
bh,bh,a5028fe,whole scan,"Roman, sigma(M)/M < 10%",0.005,4384,5.342129139974029,0.15478055706135474,5.529442199264369,0.16274853205713613
bh,bh,a5028fe,whole scan,"Roman, sigma(M)/M < 10%",0.01,4384,10.684258279948057,0.3095611141227095,11.058884398528738,0.32549706411427226
bh,bh,a5028fe,whole scan,"Roman, sigma(M)/M < 10%",0.03,4384,32.052774839844176,0.9286833423681283,33.17665319558621,0.9764911923428167
bh,bh,a5028fe,whole scan,"joint, sigma(M)/M < 10%",0.005,5303,6.455644190288198,0.17014860788174432,6.667653711505145,0.17828799867663234
bh,bh,a5028fe,whole scan,"joint, sigma(M)/M < 10%",0.01,5303,12.911288380576396,0.34029721576348865,13.33530742301029,0.3565759973532647
bh,bh,a5028fe,whole scan,"joint, sigma(M)/M < 10%",0.03,5303,38.73386514172918,1.0208916472904659,40.00592226903087,1.069727992059794
bh,bh,a5028fe,Roman footprint only,joint (either survey),0.005,24186,42.38382266428565,0.45418934344896694,45.25952706475533,0.6435000974879931
bh,bh,a5028fe,Roman footprint only,joint (either survey),0.01,24186,84.7676453285713,0.9083786868979339,90.51905412951066,1.2870001949759862
bh,bh,a5028fe,Roman footprint only,joint (either survey),0.03,24186,254.3029359857139,2.7251360606938015,271.557162388532,3.8610005849279583
bh,bh,a5028fe,Roman footprint only,Rubin detects,0.005,6118,9.057273163744812,0.20199784547119223,9.376083993311555,0.21839634894400042
bh,bh,a5028fe,Roman footprint only,Rubin detects,0.01,6118,18.114546327489624,0.40399569094238447,18.75216798662311,0.43679269788800085
bh,bh,a5028fe,Roman footprint only,Rubin detects,0.03,6118,54.343638982468875,1.2119870728271533,56.25650395986933,1.3103780936640026
bh,bh,a5028fe,Roman footprint only,Roman detects,0.005,23771,41.992193193607676,0.4532507507724952,44.8580847563582,0.6428035552775431
bh,bh,a5028fe,Roman footprint only,Roman detects,0.01,23771,83.98438638721535,0.9065015015449904,89.7161695127164,1.2856071105550861
bh,bh,a5028fe,Roman footprint only,Roman detects,0.03,23771,251.95315916164603,2.7195045046349713,269.1485085381492,3.8568213316652584
bh,bh,a5028fe,Roman footprint only,both detect,0.005,5764,8.72891567297545,0.20024217114438167,9.03816395951129,0.21667260344803893
bh,bh,a5028fe,Roman footprint only,both detect,0.01,5764,17.4578313459509,0.40048434228876334,18.07632791902258,0.43334520689607786
bh,bh,a5028fe,Roman footprint only,both detect,0.03,5764,52.373494037852694,1.20145302686629,54.22898375706774,1.3000356206882335
bh,bh,a5028fe,Roman footprint only,Rubin only,0.005,354,0.3283574907693638,0.026574470274829922,0.33792003380026586,0.02738518115913207
bh,bh,a5028fe,Roman footprint only,Rubin only,0.01,354,0.6567149815387276,0.053148940549659844,0.6758400676005317,0.05477036231826414
bh,bh,a5028fe,Roman footprint only,Rubin only,0.03,354,1.9701449446161827,0.15944682164897953,2.027520202801595,0.1643110869547924
bh,bh,a5028fe,Roman footprint only,Roman only,0.005,18007,33.26327752063222,0.40661937481041743,35.819920796846915,0.605185420836043
