panel,param,teBin,dt_centre,n,n_eff,median,median_unweighted,q25,q75,rescue_fraction,rescue_fraction_unweighted
precision,tE,30-100 d,22.5,328,97.97957250648335,0.823991006892935,0.8988470617514404,0.37053625201756996,0.9866864622796571,,
precision,tE,30-100 d,37.5,266,74.6229778677262,0.6370767132081528,0.8696173294436795,0.1870878136200717,0.9755001509371828,,
precision,tE,30-100 d,52.5,214,64.77044668257625,0.8938744246311555,0.9597879559628637,0.48044474910077245,0.9968141645989972,,
yield,tE,30-100 d,-37.5,147,48.1798660092735,,,,,0.062118489385627244,0.047619047619047616
yield,tE,30-100 d,-22.5,373,98.92015734181663,,,,,0.013369798664500825,0.04289544235924933
yield,tE,30-100 d,-7.5,372,110.94676160665277,,,,,0.053184782468062596,0.04838709677419355
yield,tE,30-100 d,7.5,340,115.84636680856582,,,,,0.03516042727457336,0.05
yield,tE,30-100 d,22.5,329,98.68670559141052,,,,,0.049699118748595936,0.06990881458966565
yield,tE,30-100 d,37.5,266,74.6229778677262,,,,,0.0451497492111823,0.07894736842105263
yield,tE,30-100 d,52.5,214,64.77044668257625,,,,,0.11378499605635622,0.08878504672897196
precision,tE,100-300 d,-37.5,74,23.035296178160976,0.9659905922489437,0.9688005833968089,0.8578724569478121,0.9955010374201082,,
precision,tE,100-300 d,-22.5,203,20.34339077876357,0.9939722794946528,0.9696300883091257,0.937297738198857,0.9979359607957141,,
precision,tE,100-300 d,22.5,178,8.31918355124078,0.9742933942906161,0.9837275796191199,0.8028407134671811,0.9999333171470682,,
precision,tE,100-300 d,37.5,160,47.491272490385,0.9781087885905473,0.9637886973849036,0.7940118080460611,0.9965773330933533,,
precision,tE,100-300 d,52.5,139,11.681378574136811,0.9930751821100194,0.9654921764413328,0.9451743324926944,0.9999918900945615,,
yield,tE,100-300 d,-37.5,74,23.035296178160976,,,,,0.009350927059761108,0.013513513513513514
yield,tE,100-300 d,-22.5,203,20.34339077876357,,,,,0.04484943980430141,0.06896551724137931
yield,tE,100-300 d,22.5,178,8.31918355124078,,,,,0.014980671915963395,0.05056179775280899
yield,tE,100-300 d,37.5,160,47.491272490385,,,,,0.011841480965256425,0.025
yield,tE,100-300 d,52.5,139,11.681378574136811,,,,,0.018425084700084863,0.02877697841726619
precision,tE,> 300 d,-22.5,48,22.180083135217473,0.9961160159262232,0.9960655196053804,0.9693505646053333,0.9995008995267457,,
precision,tE,> 300 d,-7.5,72,17.380242737239527,0.9553326522896741,0.9831279036421369,0.6300994851330421,0.9989127981614642,,
precision,tE,> 300 d,7.5,45,15.031538836020871,0.994951199142927,0.9950488698067939,0.9444323476897618,0.9991822454091879,,
precision,tE,> 300 d,22.5,59,19.54499048535095,0.9667462641031207,0.9858094257364758,0.7512529680762516,0.999602875790239,,
precision,tE,> 300 d,37.5,50,19.7462298498837,0.9949870632064468,0.9915965039569371,0.9426812802557876,0.9997666826601939,,
precision,tE,> 300 d,52.5,39,19.508706784281863,0.9895969087212637,0.9833221131059301,0.9206500322497989,0.9962906411397935,,
yield,tE,> 300 d,-22.5,48,22.180083135217473,,,,,0.0,0.0
yield,tE,> 300 d,-7.5,72,17.380242737239527,,,,,0.004508439449942467,0.013888888888888888
yield,tE,> 300 d,7.5,45,15.031538836020871,,,,,0.0,0.0
yield,tE,> 300 d,22.5,59,19.54499048535095,,,,,0.04829867814189339,0.05084745762711865
yield,tE,> 300 d,37.5,50,19.7462298498837,,,,,0.001900138259055359,0.02
yield,tE,> 300 d,52.5,39,19.508706784281863,,,,,0.009590907972123733,0.02564102564102564
