panel,param,teBin,dt_centre,n,n_eff,median,median_unweighted,q25,q75,rescue_fraction,rescue_fraction_unweighted
precision,piE,30-100 d,52.5,214,64.77044668257625,0.8950472324443264,0.9596703692819748,0.6304016871108228,0.9978209150777505,,
yield,piE,30-100 d,-37.5,147,48.1798660092735,,,,,0.062118489385627244,0.047619047619047616
yield,piE,30-100 d,-22.5,373,98.92015734181663,,,,,0.013369798664500825,0.04289544235924933
yield,piE,30-100 d,-7.5,372,110.94676160665277,,,,,0.053184782468062596,0.04838709677419355
yield,piE,30-100 d,7.5,340,115.84636680856582,,,,,0.03516042727457336,0.05
yield,piE,30-100 d,22.5,329,98.68670559141052,,,,,0.049699118748595936,0.06990881458966565
yield,piE,30-100 d,37.5,266,74.6229778677262,,,,,0.0451497492111823,0.07894736842105263
yield,piE,30-100 d,52.5,214,64.77044668257625,,,,,0.11378499605635622,0.08878504672897196
precision,piE,100-300 d,-37.5,74,23.035296178160976,0.9716597747041209,0.9696038728034839,0.8898776205984125,0.994863609869067,,
precision,piE,100-300 d,-22.5,203,20.34339077876357,0.9938671963813467,0.9758242412293592,0.9288835552507761,0.9961381069046776,,
precision,piE,100-300 d,22.5,178,8.31918355124078,0.9837605048299787,0.9850811220673045,0.7001444726747372,0.9999279114752916,,
precision,piE,100-300 d,37.5,160,47.491272490385,0.966995147267496,0.9538639222359775,0.8220670968012967,0.9941174147689877,,
precision,piE,100-300 d,52.5,139,11.681378574136811,0.9936182733983587,0.9734530068317917,0.9485580207312364,0.999990761441954,,
yield,piE,100-300 d,-37.5,74,23.035296178160976,,,,,0.009350927059761108,0.013513513513513514
yield,piE,100-300 d,-22.5,203,20.34339077876357,,,,,0.04484943980430141,0.06896551724137931
yield,piE,100-300 d,22.5,178,8.31918355124078,,,,,0.014980671915963395,0.05056179775280899
yield,piE,100-300 d,37.5,160,47.491272490385,,,,,0.011841480965256425,0.025
yield,piE,100-300 d,52.5,139,11.681378574136811,,,,,0.018425084700084863,0.02877697841726619
precision,piE,> 300 d,-22.5,48,22.180083135217473,0.9967032068805799,0.9961551289648353,0.9698332790995923,0.9994901008945629,,
precision,piE,> 300 d,-7.5,72,17.380242737239527,0.9570034399983587,0.981042751046216,0.6582055540535321,0.9988745709301672,,
precision,piE,> 300 d,7.5,45,15.031538836020871,0.9943719067625673,0.9950021172415028,0.9516495410377407,0.9991263526328302,,
precision,piE,> 300 d,22.5,59,19.54499048535095,0.9635774233219307,0.9842461165805724,0.6836485445934399,0.9993746830825718,,
precision,piE,> 300 d,37.5,50,19.7462298498837,0.9946198062732461,0.9924133754630192,0.9508811165641631,0.9994773000555516,,
precision,piE,> 300 d,52.5,39,19.508706784281863,0.9930471003801606,0.9847837633205636,0.9229706683249945,0.9966589334727486,,
yield,piE,> 300 d,-22.5,48,22.180083135217473,,,,,0.0,0.0
yield,piE,> 300 d,-7.5,72,17.380242737239527,,,,,0.004508439449942467,0.013888888888888888
yield,piE,> 300 d,7.5,45,15.031538836020871,,,,,0.0,0.0
yield,piE,> 300 d,22.5,59,19.54499048535095,,,,,0.04829867814189339,0.05084745762711865
yield,piE,> 300 d,37.5,50,19.7462298498837,,,,,0.001900138259055359,0.02
yield,piE,> 300 d,52.5,39,19.508706784281863,,,,,0.009590907972123733,0.02564102564102564
