field,teBin,N_events,N_eff,N_rubin_only,N_roman_only,N_both,N_neither,N_gap_peaking,frac_gap_seen_by_rubin,frac_gap_seen_by_rubin_unw,N_ratio_tE,Neff_ratio_tE,med_ratio_tE,q25_ratio_tE,q75_ratio_tE,med_ratio_tE_unw,N_ratio_piE,Neff_ratio_piE,med_ratio_piE,q25_ratio_piE,q75_ratio_piE,med_ratio_piE_unw,N_char_joint,N_char_roman,dN_char,frac_char_joint,frac_char_roman,frac_rubin_singular
"F3(+1.218,-1.200)",10-30 d,374.0,170.50986137519791,145.0,141.0,79.0,9.0,133.0,0.6945032650618364,0.6390977443609023,374.0,170.50986137519791,0.20345041448649973,0.0005210022294284556,0.9541997253373513,0.22454867326939337,374.0,170.50986137519791,0.3245088061809421,0.0015076165258362214,0.9719012941854287,0.31295051849514915,24.0,9.0,15.0,0.0190159313546965,0.005506780572218489,0.0
"F3(+1.218,-1.200)",30-100 d,456.0,122.8798235981397,145.0,143.0,162.0,6.0,140.0,0.6075750016577512,0.6,456.0,122.8798235981397,0.5226534171567634,0.035894810966657587,0.9269096727879398,0.5931975989291678,456.0,122.8798235981397,0.5495624488456373,0.043297286488648216,0.9240330234985945,0.5985704890621186,143.0,98.0,45.0,0.14086026958363596,0.08848382455441807,0.008955585644322226
"F3(+1.218,-1.200)",100-300 d,289.0,77.17963410628381,69.0,86.0,131.0,3.0,98.0,0.5067929602540078,0.6122448979591837,289.0,77.17963410628381,0.572108092293562,0.009660818628183583,0.9288443550237376,0.6638090132863651,289.0,77.17963410628381,0.5364809400320322,0.012587421415406367,0.9351925728806838,0.619405018735097,186.0,125.0,61.0,0.5508324045939009,0.36903419884131916,0.0
"F3(+1.218,-1.200)",300-inf d,92.0,34.114451655481425,6.0,34.0,52.0,0.0,32.0,0.24921792356479572,0.46875,92.0,34.114451655481425,0.8574931547172746,0.4024731757968597,0.9789461987809008,0.8604184831913205,92.0,34.114451655481425,0.8648158883695287,0.45278378422989946,0.982677387060443,0.8583726707267103,84.0,65.0,19.0,0.9552456784961615,0.6884639796380498,0.0
"F4(+0.000,-0.125)",10-30 d,543.0,277.9939561640967,88.0,354.0,93.0,8.0,187.0,0.3428636643953691,0.3315508021390374,542.0,276.9940310972587,0.9133035917713378,0.16589364511869104,0.9990504792301392,0.9276880923327155,542.0,276.9940310972587,0.9555906679312643,0.35252631916568183,0.9992109276302071,0.9588572599871958,38.0,30.0,8.0,0.03370151264835162,0.02576589888070046,0.0008727528006446511
"F4(+0.000,-0.125)",30-100 d,620.0,196.90703083590202,95.0,370.0,147.0,8.0,266.0,0.2644947712734997,0.3007518796992481,619.0,196.5207528055083,0.9676475708476853,0.3997971582903525,0.999204605792782,0.9735319912101773,619.0,196.5207528055083,0.9771351675344059,0.6707681738159645,0.9994013233087384,0.9760034983510377,200.0,168.0,32.0,0.15551721841940105,0.13201497292763775,0.0
"F4(+0.000,-0.125)",100-300 d,338.0,40.99943960619297,32.0,191.0,108.0,7.0,131.0,0.5344032719682671,0.3511450381679389,338.0,40.99943960619297,0.9645618163820517,0.8032744690230141,0.9970090809467637,0.980223794678996,338.0,40.99943960619297,0.9710683096435091,0.8263698223605861,0.9967804249839023,0.9813267805151633,210.0,173.0,37.0,0.42876387245489317,0.3538398809124453,0.0012264903805414037
"F4(+0.000,-0.125)",300-inf d,122.0,51.02868681318315,1.0,60.0,61.0,0.0,41.0,0.5819336666571737,0.6097560975609756,122.0,51.02868681318315,0.9841078738261497,0.4290352973618899,0.9982392067930188,0.9950744174634351,122.0,51.02868681318315,0.9838070246441332,0.386998191434824,0.9985572531865254,0.9952495733759583,101.0,90.0,11.0,0.8197209293721276,0.6551193906559902,0.0
"F5(+0.809,-1.200)",10-30 d,371.0,163.40451129933948,106.0,166.0,89.0,10.0,120.0,0.508048298189892,0.5333333333333333,370.0,163.39579671187627,0.5141238832595197,0.0009389523079005549,0.9904612990816732,0.5094572883367307,370.0,163.39579671187627,0.5900252821925018,0.005054251137159891,0.9925238582636828,0.5913497511064694,26.0,14.0,12.0,0.03381183791711305,0.018885568444837054,0.001050961246685254
"F5(+0.809,-1.200)",30-100 d,417.0,102.38460770215234,86.0,172.0,149.0,10.0,163.0,0.5720044652146683,0.50920245398773,417.0,102.38460770215234,0.6798255574755205,0.08240930422362783,0.9868029817025022,0.754778857028227,417.0,102.38460770215234,0.701702962677953,0.1717516548733166,0.9854325381651321,0.7490405894337502,152.0,108.0,44.0,0.16690502633176932,0.1334958712463876,0.0
"F5(+0.809,-1.200)",100-300 d,293.0,6.381591732957923,39.0,109.0,136.0,9.0,110.0,0.5868626810262705,0.5454545454545454,293.0,6.381591732957923,0.9904715625454562,0.5628427037783028,0.9959987018830071,0.8480352290763155,293.0,6.381591732957923,0.9879495940335795,0.6584691369951515,0.9976925920885775,0.8520402936656992,194.0,146.0,48.0,0.3377152530878137,0.2466068191381602,0.0
"F5(+0.809,-1.200)",300-inf d,89.0,23.589252387626434,3.0,38.0,47.0,1.0,22.0,0.5692348039909292,0.5,89.0,23.589252387626434,0.8212629078176505,0.5921548171212259,0.9376409279951897,0.8982072885265613,89.0,23.589252387626434,0.825768425971071,0.5910634465917873,0.9750614176509942,0.9037857484309109,73.0,61.0,12.0,0.7397189243090145,0.6141586496774182,0.0
