panel,param,teBin,dt_centre,n,n_eff,median,median_unweighted,q25,q75,rescue_fraction,rescue_fraction_unweighted
precision,piE,30-100 d,37.5,456,128.22054817738416,0.998842118805628,0.9989060673272385,0.9666549174483903,0.9998815973592623,,
precision,piE,30-100 d,52.5,370,106.59293945358186,0.995725286410098,0.9984105837048839,0.712664855698522,0.9997087609310453,,
yield,piE,30-100 d,-37.5,195,72.27335081945334,,,,,8.566131832323009e-05,0.005128205128205128
yield,piE,30-100 d,-22.5,621,218.4500344809216,,,,,0.0010737223484279322,0.001610305958132045
yield,piE,30-100 d,-7.5,654,239.21339538396353,,,,,4.98704002368918e-05,0.0030581039755351682
yield,piE,30-100 d,7.5,521,182.30113346149017,,,,,0.01992598960944633,0.015355086372360844
yield,piE,30-100 d,22.5,461,157.75644680609017,,,,,0.0007589551159342352,0.006507592190889371
yield,piE,30-100 d,37.5,456,128.22054817738416,,,,,0.01571968872560967,0.013157894736842105
yield,piE,30-100 d,52.5,370,106.59293945358186,,,,,0.09769309081898288,0.04864864864864865
precision,piE,100-300 d,-37.5,72,20.210906791305696,0.9996606278384988,0.9995510470240889,0.9991218629710084,0.9999877949055934,,
precision,piE,100-300 d,-22.5,246,69.83166100343148,0.9998289833057528,0.9997739017862313,0.997695130788471,0.9999904942320358,,
precision,piE,100-300 d,-7.5,252,8.249686000243374,0.998652707255303,0.9997965905439996,0.9695193715087972,0.9998916329135066,,
precision,piE,100-300 d,7.5,220,30.40055181941566,0.9999113621859266,0.9998084657985964,0.9970891646073146,0.9999871209369775,,
precision,piE,100-300 d,22.5,212,60.2333814572166,0.9996397737779327,0.9993577783085053,0.9950494294257642,0.9999886621743681,,
precision,piE,100-300 d,37.5,232,63.00633399364227,0.9998337881954092,0.9998148194472221,0.9987075997372826,0.9999816141997213,,
precision,piE,100-300 d,52.5,195,34.89420441548397,0.9998171602030506,0.9998583706663288,0.9908439131759265,0.9999830164726065,,
yield,piE,100-300 d,-37.5,72,20.210906791305696,,,,,0.0,0.0
yield,piE,100-300 d,-22.5,246,69.83166100343148,,,,,0.0,0.0
yield,piE,100-300 d,-7.5,252,8.249686000243374,,,,,0.0,0.0
yield,piE,100-300 d,7.5,220,30.40055181941566,,,,,0.0,0.0
yield,piE,100-300 d,22.5,212,60.2333814572166,,,,,0.007874807873352973,0.009433962264150943
yield,piE,100-300 d,37.5,232,63.00633399364227,,,,,0.0,0.0
yield,piE,100-300 d,52.5,195,34.89420441548397,,,,,0.0,0.0
precision,piE,> 300 d,-37.5,26,10.926358816760935,0.9999592169657423,0.9999246315292101,0.999616907163836,0.9999862940475048,,
precision,piE,> 300 d,-22.5,62,24.285465662007834,0.9999707852396408,0.9999649079187335,0.999542261229526,0.9999971251232604,,
precision,piE,> 300 d,-7.5,62,25.09049685755488,0.9999469808932394,0.9998561416365942,0.999686816723987,0.9999881002220931,,
precision,piE,> 300 d,7.5,45,18.25468136431466,0.9998871983097101,0.999956044094053,0.9977064299767173,0.9999962703684503,,
precision,piE,> 300 d,22.5,58,26.693107274433615,0.9999866992387532,0.9999469006412007,0.9998463164479148,0.9999968088229662,,
precision,piE,> 300 d,37.5,52,15.187986652960687,0.9999602827865598,0.9998595300239643,0.9995139868963391,0.9999894025586462,,
precision,piE,> 300 d,52.5,52,15.366084492719587,0.9999837086454146,0.9998485103542636,0.9995711507596151,0.9999952282335876,,
yield,piE,> 300 d,-37.5,26,10.926358816760935,,,,,0.0,0.0
yield,piE,> 300 d,-22.5,62,24.285465662007834,,,,,0.0,0.0
yield,piE,> 300 d,-7.5,62,25.09049685755488,,,,,0.0,0.0
yield,piE,> 300 d,7.5,45,18.25468136431466,,,,,0.0,0.0
yield,piE,> 300 d,22.5,58,26.693107274433615,,,,,0.0,0.0
yield,piE,> 300 d,37.5,52,15.187986652960687,,,,,0.0,0.0
yield,piE,> 300 d,52.5,52,15.366084492719587,,,,,0.0,0.0
